id,symbol,price,side,volume,high,low,max_profit,max_loss,,
15701941,XRPUSDT,0.4229,1,59300.4,0.4272,0.4159,415.1028,254.99172,,
15701947,ETHUSDT,1751.55,1,0.005,1767.12,1728.71,0.1142,0.07785,,
15701948,ETHUSDT,1751.54,2,0.09,1767.12,1728.71,1.4022,2.0547,,
15701950,XRPUSDT,0.4234,1,30,0.4272,0.4159,0.225,0.114,,
15701953,XRPUSDT,0.4226,1,234.7,0.4272,0.4159,1.57249,1.07962,,
15701954,XRPUSDT,0.4228,2,4051.3,0.4272,0.4159,17.82572,27.95397,,
15701955,XRPUSDT,0.4234,1,234.5,0.4272,0.4159,1.75875,0.8911,,
15701956,XRPUSDT,0.4233,1,234.4,0.4272,0.4159,1.73456,0.91416,,
15701959,XRPUSDT,0.4236,1,234.4,0.4272,0.4159,1.80488,0.84384,,
15701962,BTCUSDT,27715.76,2,0.0018,27876.52,27000,0.289368,1.288368,,
15701967,XRPUSDT,0.4252,2,164.6,0.4272,0.4159,0.3292,1.53078,,
15701968,XRPUSDT,0.4252,2,164.6,0.4272,0.4159,0.3292,1.53078,,
15701969,XRPUSDT,0.4252,2,70.1,0.4272,0.4159,0.1402,0.65193,,
15701970,XRPUSDT,0.4252,2,70.1,0.4272,0.4159,0.1402,0.65193,,
15701973,XRPUSDT,0.4251,1,229.6,0.4272,0.4159,2.11232,0.48216,,
15701977,XRPUSDT,0.425,1,233.6,0.4272,0.4159,2.12576,0.51392,,
15701982,BTCUSDT,27671.65,1,0.0763,27876.52,27000,51.246895,15.631581,,
15701985,ETHUSDT,1750,1,4.995,1767.12,1728.71,106.34355,85.5144,,
15701986,ETHUSDT,1751,1,0.101,1767.12,1728.71,2.25129,1.62812,,
15701988,XRPUSDT,0.4239,1,233.9,0.4272,0.4159,1.8712,0.77187,,
15701991,XRPUSDT,0.424,1,234,0.4272,0.4159,1.8954,0.7488,,
15701993,BTCUSDT,27600,1,0.0003,27876.52,27000,0.18,0.082956,,
15701994,BTCUSDT,27600,1,0.1271,27876.52,27000,76.26,35.145692,,
15702000,BTCUSDT,27615.96,1,0.0349,27876.52,27000,21.497004,9.093544,,
